Source,Target,Type,Id,Label,timeset,Weight
7278378,9023364,Directed,321,,,1
7278378,14441649,Directed,322,,,1
7278378,14870878,Directed,323,,,1
7278378,19642021,Directed,324,,,1
7278378,307363013,Directed,325,,,1
7292505,226594840,Directed,327,,,1
7292505,344410216,Directed,328,,,1
7372677,4422316,Directed,329,,,1
7372677,6308154,Directed,330,,,1
7372677,6769254,Directed,331,,,1
7372677,9667022,Directed,332,,,1
7372677,65225390,Directed,334,,,1
7372677,119352565,Directed,335,,,1
7383910,2459486,Directed,337,,,1
7383910,7726541,Directed,338,,,1
7383910,92674866,Directed,339,,,1
7383910,142565923,Directed,340,,,1
7726541,2459486,Directed,341,,,1
7726541,7383910,Directed,342,,,1
7726541,92674866,Directed,343,,,1
7726541,142565923,Directed,344,,,1
7726541,164933558,Directed,345,,,1
7726541,246841629,Directed,346,,,1
7815454,3363362,Directed,347,,,1
7815454,3538796,Directed,348,,,1
7815454,3734345,Directed,349,,,1
7815454,3848664,Directed,350,,,1
7815454,4311406,Directed,351,,,1
7815454,5325067,Directed,352,,,1
7815454,6407680,Directed,353,,,1
7815454,7038577,Directed,354,,,1
7815454,7278378,Directed,355,,,1
7815454,10020082,Directed,356,,,1
7815454,14441649,Directed,357,,,1
7815454,14870878,Directed,358,,,1
7815454,19642021,Directed,359,,,1
7815454,20821771,Directed,361,,,1
7815454,28900519,Directed,362,,,1
7815454,62561894,Directed,364,,,1
45240815,562917251,Directed,2112,,,1
562917251,52055451,Directed,2103,,,1
7815454,307363013,Directed,367,,,1
8316747,38661612,Directed,369,,,1
8316747,52418947,Directed,370,,,1
8316747,54447453,Directed,371,,,1
8316747,189096318,Directed,372,,,1
8316747,404106269,Directed,373,,,1
8408976,6407680,Directed,374,,,1
8408976,8660003,Directed,375,,,1
8408976,19642021,Directed,376,,,1
8644937,3538796,Directed,377,,,1
8644937,7038577,Directed,378,,,1
8644937,23499242,Directed,380,,,1
8660003,3538796,Directed,381,,,1
8660003,4311406,Directed,382,,,1
8660003,6407680,Directed,383,,,1
8660003,6769254,Directed,384,,,1
8660003,8408976,Directed,385,,,1
8660003,9023364,Directed,386,,,1
8660003,14441649,Directed,389,,,1
8660003,14870878,Directed,390,,,1
8660003,19642021,Directed,391,,,1
8764390,13186664,Directed,392,,,1
8764390,31321482,Directed,393,,,1
8837849,1601280,Directed,394,,,1
8837849,15093046,Directed,395,,,1
8837849,61819107,Directed,396,,,1
8837849,72454202,Directed,397,,,1
8837849,142929208,Directed,398,,,1
8837849,206047760,Directed,399,,,1
9023364,3363362,Directed,400,,,1
9023364,3538796,Directed,401,,,1
9023364,4311406,Directed,402,,,1
9023364,6407680,Directed,403,,,1
